ID,Review count,Rating,Price Score(1-3),Latitude,Longitude
i09UMzccKgyLwGYKDVP28w,2755,4.5,2,37.80678,-122.41756
kvrQecqdGvnuVICMstZJmA,582,4.5,2,37.77583055001725,-122.4226361
8dPFvqiYz4ZJUY4DZqZo1Q,514,4.5,2,37.6550735,-122.4103483
HHtpR0RslupSQ99GIIwW5A,3978,4.5,2,37.78511637816802,-122.4320083486284
ECGj_uOTX47MayVCLZei4g,309,4.0,2,37.782407,-122.479713
BjlVE7tTp1UCEttgkM1Big,565,4.5,2,37.76872324000296,-122.42928109103332
UYNswbdsQ5OvwnyY9esxCw,516,4.5,2,37.7666182758937,-122.430262778253
oMlxpjYNPLGV-qAG1mqwPQ,4997,4.0,2,37.97191154325648,-122.52428381165647
fIkLJ_xpZo8py8SYTXYkPQ,294,4.0,2,37.770655,-122.425312
lJAGnYzku5zSaLnQ_T6_GQ,11662,4.0,2,37.7829016035273,-122.419043442957
elgE2cUhKotsLoBUdghexQ,1936,4.5,1,37.753182446703,-122.505007542328
BI40rGhpngLNPacrjWpseQ,1896,4.0,2,37.7423,-122.48701
_1d43w8ys3nefqjhTtUYVQ,1325,5.0,2,37.62957,-122.41554
8kck3-K4zYKTJbJko0JlXQ,3296,4.0,2,37.7601928839328,-122.4114188698492
jU7vhPz-vUmjMlxMf9cTXA,330,4.5,2,37.755952,-122.421328
Id2aVe9l5YQlHtlXnGye-Q,763,4.5,2,37.760662161462,-122.388421141818
bUllrq8bcGbn9TKtVcjL-A,377,4.5,2,37.789884,-122.412317
yC5ATYRQah7MjeTiRsGcvA,946,4.0,1,37.764452,-122.431978
Fe-YjAdSRLqDC2H_pqPcSw,1625,4.0,2,37.7861574638014,-122.430057115853
UTVDbZv-qiHU06sDkoel3g,2260,4.5,2,37.762463,-122.396712
SxHKYiRVnMd9BnTEaEB-FA,170,5.0,2,37.759907,-122.421268
8u7pyRsCdf0DOP-Vg6MuLQ,206,4.5,2,37.771917,-122.430753
Avc_8DPcnBll9WZcEzaJHA,32,5.0,2,37.78180582215728,-122.416181
N6z0so39b9fzGi8UWzI1Ww,1571,4.0,2,37.7579585099187,-122.388854026794
M0JTO3oyu6gxh1mfFjU-dA,7562,4.0,2,37.76378306790313,-122.46900735179602
1EWkmc_myDLYfvorOnYzEA,358,4.5,2,37.794597,-122.404432
SGRmnarrNuVEsAjYdEoA0w,5211,4.0,1,37.75265,-122.41812
UGKNNQ6bjL-ZttHSdZISfA,1970,4.0,2,37.800591,-122.438832
J7_-faNq_Ag9qTOlDn81Pw,2079,4.0,2,37.76402,-122.43253
5JnRBNZ53e3pgKUNOI5kig,92,5.0,2,37.79767721513589,-122.4075332
bJ3InsZr5tDlfI6mEV4Pyg,50,5.0,2,37.77616,-122.40833
tiSDprSVuesljC8b0aS64A,127,4.0,1,37.7663780003786,-122.39863269031
I8T8aoAsFQYwQiRvLBayFA,1515,4.5,2,37.79852,-122.40739
JwbyzqL33R4oRk5-ymubYg,116,5.0,2,37.71467,-122.4423
vu6PlPyKptsT6oEq50qOzA,1496,4.0,2,37.78566225574775,-122.4042726198749
53hTeeM2L5NTEIL_D_HH8Q,196,4.5,3,37.7694943,-122.402886
ojU7d4hPltcSrWGS1zYP7A,857,4.5,2,37.6868567,-122.4695859
KarMlfJURqPo70kQZ4LzFg,64,4.5,2,37.77139,-122.43014
-DrR38H1Abk0wCyu9XOLug,4337,4.5,2,37.785735681426,-122.43507770852
1ULAxKR5_7RWzQ4CRJD1hg,892,4.0,2,37.7687639,-122.42927591406595
XQLmEdXoMzOpffwoFaBtaQ,3789,4.0,2,37.7642907777954,-122.43072410226956
ayhsCE7JrE0dBGuRjGlGrQ,164,4.5,2,37.79098,-122.40384
C_8tBcwMD5Xy-eA8QCz0Fw,430,4.5,2,37.78039,-122.40375
f-m7-hyFzkf0HSEeQ2s-9A,8027,4.5,2,37.80898821475503,-122.41029651587516
dY0Mc_PHH6nLENvWmVtwxQ,1417,4.5,3,37.78601,-122.42858
0mNzmmh1mrdh5Cpg2QUBiw,1115,4.5,2,37.7878344,-122.4131853
QueFVMcMlT-6aZFv2M47mg,279,4.5,2,37.75472,-122.4212
2hGIxgprREdBieylltWaRQ,1436,5.0,2,37.7873184067081,-122.423591369312
vth2jtXfVUCRJeIP680CyA,1196,4.0,2,37.78501,-122.431741
rSLMK2uCRM21gNj2cvvUWw,208,4.5,2,37.78788,-122.41306
hqQoVK0vadOX7_4gN1sh3g,3511,4.5,1,37.7831519576568,-122.417318022037
KRcMsXmeILmC8OXmcXOQgA,1791,4.0,2,37.765051,-122.42246
yrKFfnMSXTRuq-hkTGM9eA,864,4.0,2,37.7997609,-122.4085676
-sg6DqQNGyTMt0MHoY7diQ,3128,4.0,1,37.7954584839809,-122.408358365012
K9XVDlPNhrrSVEJN7uWqJQ,1752,4.5,2,37.801752,-122.411851
LHd3X9Of8ymOE5X3_fd0eA,446,4.5,2,37.832094781567775,-122.2630403
VdxJdMX53XZYNZvZlr96HA,1297,4.0,2,37.7875137329102,-122.398719787598
MAPTAZ4GbS3NSOjZiPQQVw,40,4.5,2,37.6229,-122.41156
Jpxv-URBpIvcu0mE5B6S3g,221,4.5,2,37.77826,-122.39388
kesgk8dCRyg3qRDYpuAKGg,1433,4.0,2,37.79990506085279,-122.4371697
v3qnV929O7VFRVUB5hd72A,146,4.5,2,37.79820548128758,-122.40491142651727
8dUaybEPHsZMgr1iKgqgMQ,4508,4.5,2,37.79979,-122.40834
oxIccYsvTXBOxWvK9GdTsA,384,4.5,2,37.763082,-122.424349
